Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Mexico,MEX,GDP (current US$),NY.GDP.MKTP.CD,13040000000,14160000000,15200000000,16960000000,20080000000,21840000000,24320000000,26560000000,29360000000,32480000000,35520000000,39200000000,45200000000,55280000000,72000000000,88000000000,89025974026,81814159292,1.025E+11,1.34561E+11,2.05139E+11,2.63959E+11,1.84609E+11,1.56159E+11,1.84261E+11,1.9522E+11,1.3455E+11,1.47541E+11,1.81612E+11,2.21401E+11,2.61254E+11,3.13143E+11,3.63158E+11,5.00736E+11,5.27813E+11,3.60074E+11,4.10976E+11,5.00413E+11,5.26502E+11,6.00233E+11,7.07907E+11,7.56706E+11,7.72106E+11,7.29336E+11,7.82241E+11,8.77476E+11,9.75387E+11,1.0527E+12,1.10999E+12,9.00045E+11,1.0578E+12,1.18049E+12,1.20109E+12,1.27444E+12,1.31535E+12,1.17187E+12,1.07849E+12,1.15891E+12,1.22235E+12,1.26887E+12,1.07616E+12
Mexico,MEX,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,764000000,826000000,930000000,985000000,1054000000,1145000000,1199000000,1145000000,1254000000,1430000000,1402000000,1504000000,1694000000,2250000000,2958000000,2904000000,3417000000,4167000000,6005000000,8982000000,18031000000,23307000000,24055000000,25953000000,29101000000,26757000000,21804000000,27600000000,30691000000,35171000000,40711000000,42688000000,46196000000,51886000000,60882000000,79542000000,96000000000,1.10431E+11,1.1746E+11,1.36391E+11,1.66367E+11,1.58547E+11,1.60682E+11,1.65396E+11,1.8798E+11,2.14207E+11,2.49961E+11,2.71821E+11,2.91265E+11,2.29712E+11,2.98305E+11,3.49569E+11,3.7077E+11,3.80015E+11,3.96912E+11,3.8055E+11,3.73948E+11,4.09433E+11,4.50713E+11,4.60704E+11,4.1767E+11
Mexico,MEX,Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,1186000000,1139000000,1143000000,1240000000,1493000000,1560000000,1605000000,1748000000,1960000000,2080000000,2461000000,2407000000,2718000000,3814000000,6057000000,6580000000,6028000000,5489000000,8109000000,12086000000,22144000000,28462000000,17742000000,12476000000,16691000000,19116000000,17573000000,19697000000,29402000000,36400000000,43548000000,51725000000,64213000000,67547000000,81986000000,74427000000,91979000000,1.13121E+11,1.29072E+11,1.46084E+11,1.79464E+11,1.73039E+11,1.73087E+11,1.75039E+11,2.0226E+11,2.2824E+11,2.63476E+11,2.90246E+11,3.18304E+11,2.41515E+11,3.10205E+11,3.61068E+11,3.80477E+11,3.90965E+11,4.11581E+11,4.05282E+11,3.97522E+11,4.32179E+11,4.76546E+11,4.67342E+11,3.93248E+11
Mexico,MEX,Exports of goods and services (current US$),NE.EXP.GNFS.CD,1109120000,1191208000,1302504000,1411096000,1532720000,1667320000,1816952000,1824072000,2066336000,2451096000,2754440000,2995040000,3643200000,4650160000,6054240000,6067120000,7558155844,8442477876,10732745614,15056293860,20806478261,26030530612,26633315603,28288293089,30526865316,28436329311,22445889179,27348987810,36496759052,42358817388,48866100761,51459972502,55406026689,61496886635,70636498178,86954944699,1.06874E+11,1.21765E+11,1.2949E+11,1.47853E+11,1.79856E+11,1.71521E+11,1.74129E+11,1.7767E+11,2.02133E+11,2.30184E+11,2.66526E+11,2.89778E+11,3.07484E+11,2.44407E+11,3.14142E+11,3.66385E+11,3.87539E+11,3.98973E+11,4.19248E+11,4.04586E+11,3.99496E+11,4.36349E+11,4.79888E+11,4.92732E+11,4.31452E+11
Mexico,MEX,Imports of goods and services (current US$),NE.IMP.GNFS.CD,1520944000,1503120000,1536528000,1688128000,1978568000,2079752000,2192168000,2392912000,2746232000,3011216000,3430408000,3417960000,3991120000,5232144000,7612160000,8465680000,8784409091,8363203540,11315763158,16754179825,25215695652,32350081633,17920283688,14024762698,16777514899,19063168548,17389311867,18775671165,33950973120,42503284583,51767986205,60602974424,73709195127,77847500963,91454798673,79834960277,1.00336E+11,1.22323E+11,1.39005E+11,1.55972E+11,1.91319E+11,1.85388E+11,1.86428E+11,1.88499E+11,2.16257E+11,2.4311E+11,2.80595E+11,3.08104E+11,3.33835E+11,2.59328E+11,3.28581E+11,3.82868E+11,4.02385E+11,4.13674E+11,4.34749E+11,4.28484E+11,4.20827E+11,4.57355E+11,5.04877E+11,4.95912E+11,4.07763E+11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 09/15/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
